17.8	17	31.7	37.5	44.9	34.2	15.7	9.11	6.32	4.98	5.24	8.98
40.8	38.2	52.1	30.8	41.6	36.3	18.7	10.5	8.08	6.26	5.84	9.43
31.5	31.7	41.2	33	52.1	32.7	15.3	9.36	6.77	5.3	4.47	5.88
22.2	19.4	20.6	21.6	18.4	20	9.4	5.59	4.31	3.64	3.64	8.88
31.5	29.6	28.1	26.9	18.7	17.6	8.31	5.46	3.99	3.28	3.12	4.76
10	18.7	24.7	14.4	20.4	25.7	11.4	6.8	4.69	3.57	3.32	6.07
22.4	31	33	18	19.6	15.7	7.48	4.69	3.38	2.87	2.8	6.36
29.3	35.9	33.5	22	36.7	36.7	14	7.76	5.08	3.8	3.22	6.1
21.2	19.6	22.5	20.8	42.3	36.7	16.9	9.14	6.16	4.88	4.53	8.85
31	25.7	25.4	24.5	36.3	44.9	18.3	11	7.6	5.88	5.2	10
25.4	43.1	35.4	39	39.3	26.7	13.1	8.82	6.93	5.81	5.68	10.1
30.6	36.3	39.3	23.7	17.5	17.6	10.2	7	5.24	4.6	4.4	9.78
27.6	34.2	38.2	31.5	32.5	21.4	12.6	8.85	6.48	5.27	5.08	8.6
18.7	15.7	30.8	26.9	26.7	25.7	10.6	7.12	5.24	4.47	4.34	7.35
17.6	18	43.8	27.6	29.8	25.7	12	7.92	5.65	4.63	4.21	7.06
15.8	32.8	34.7	34.1	59.5	41.2	16	9.43	6.87	5.78	5.4	6.74
22.4	32.6	27.2	20.6	40.1	44.6	16.7	10.1	7.09	5.68	5.04	7.12
21.4	40.5	43.5	34.7	35.8	47.6	19.7	11.4	7.8	6.13	5.33	6.36
16.7	37.5	56.9	43.8	36.3	38.2	16.1	10.4	8.18	6.45	5.68	6.9
21.9	26	27.1	37.5	37.1	25.8	10.9	6.87	5.04	3.96	3.92	7.89
25.2	35.4	42.7	22.2	36.7	18.1	9.36	6.64	5.2	4.56	3.99	4.21
15.1	33.1	30.2	19.9	19.3	15.1	7.25	4.82	4.18	3.76	3.89	5.56
26.2	30	34	31.6	36.7	47.9	20.4	11.4	8.05	6.45	5.88	7.57
27.3	48.3	39.3	35.1	34	22.7	12	7.86	6.23	5.2	4.98	7.96
26.7	37.1	31.1	40.1	55.4	32.4	15.9	10.5	6.39	4.98	4.69	7.38
20.8	29.6	19.9	21.2	21.3	24.7	11.3	7	4.92	3.64	3.35	6.64
17.9	32.7	41.6	36.7	32	30.6	13.7	7.8	5.65	4.02	3.48	8.6
24.5	33	43.1	36.7	26.4	22.8	12.9	8.18	6	4.4	3.73	10.7
20.3	33.5	25.7	16.2	20.3	25.4	10.8	6.9	4.79	3.51	3.28	7.89
20.3	24.2	19.5	19.6	18.7	20.5	9.75	5.78	3.99	3.16	2.8	4.4
18.6	26.2	18.2	17.4	16.3	15.3	8.15	4.34	3.06	2.16	2.77	7.35
27.4	23.3	20.2	13.5	10.6	14.1	6.23	2.87	2.74	1.91	2.39	5.59
24.7	23.5	24	32.2	22.2	19.6	10.3	6.58	5.04	4.05	3.86	6.9
16	24.9	37.5	23	20.5	40.8	15.3	9.04	6.58	5.14	5.52	11.8
23.3	32.5	25.4	34	28.3	30.1	14.3	8.69	6.2	4.82	4.56	8.34
24	25.4	20.5	20.2	33.5	29.6	13.8	8.72	6.13	4.98	4.88	7
23	23.5	15.8	17.8	11.6	10.6	6.39	4.24	3.16	2.74	2.84	6.68
19.1	18.9	23.3	34.9	31	22.2	9.72	6.26	4.79	3.57	3.57	5.56
11.4	19.3	19	22	26	24	12.4	7.89	6.19	5.65	6.3	12.2
25.6	27.2	29.6	26.4	24.3	42.7	17.1	9.66	7.86	6.16	4.98	6.87
15.3 	16.4 	21.5 	14.9 	20.3 	18.9 	10.2 	7.66 	5.71 	5.70 	6.09 	9.07 
13.3 	20.2 	25.7 	17.0 	15.1 	11.9 	8.32 	6.79 	6.85 	6.89 	6.91 	8.02 
10.1 	17.8 	21.2 	13.5 	14.3 	12.5 	8.98 	6.26 	6.40 	6.31 	6.45 	9.42 
33.6 	19.7 	18.1 	19.6 	21.3 	26.7 	12.2 	7.32 	6.05 	5.95 	6.86 	10.5 
12.3 	21.4 	26.2 	29.7 	27.5 	19.0 	12.0 	7.77 	5.07 	4.48 	4.63 	5.78 
16.7 	29.4 	26.4 	14.4 	15.0 	12.2 	10.4 	5.61 	5.74 	5.11 	4.7 	12.5 
